SchoolYear,Sector,SubSector,ULCSCode,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2021-2022,District,District,1010,John Bartram High School,Network 13,09,135,23,17.04,112,82.96,30,22.22,105,77.78,63,46.67,72,53.33,0,0.00,2,1.48,105,77.78,21,15.56,5,3.70,0,0.00,2,1.48,
2021-2022,District,District,1010,John Bartram High School,Network 13,10,99,20,20.20,79,79.80,31,31.31,68,68.69,47,47.47,52,52.53,1,1.01,3,3.03,83,83.84,10,10.10,2,2.02,0,0.00,0,0.00,
2021-2022,District,District,1010,John Bartram High School,Network 13,11,119,16,13.45,103,86.55,35,29.41,84,70.59,49,41.18,70,58.82,0,0.00,9,7.56,95,79.83,13,10.92,2,1.68,0,0.00,0,0.00,
2021-2022,District,District,1010,John Bartram High School,Network 13,12,150,25,16.67,125,83.33,43,28.67,107,71.33,69,46.00,81,54.00,0,0.00,2,1.33,137,91.33,6,4.00,3,2.00,0,0.00,2,1.33,
2021-2022,District,District,1010,John Bartram High School,Network 13,All Grades,503,84,16.70,419,83.30,139,27.63,364,72.37,228,45.33,275,54.67,1,0.20,16,3.18,420,83.50,50,9.94,12,2.39,0,0.00,4,0.80,100.00
2021-2022,District,District,1020,West Philadelphia High School,Network 13,09,190,5,2.63,185,97.37,80,42.11,110,57.89,72,37.89,118,62.11,1,0.53,4,2.11,167,87.89,6,3.16,10,5.26,0,0.00,2,1.05,
2021-2022,District,District,1020,West Philadelphia High School,Network 13,10,99,3,3.03,96,96.97,41,41.41,58,58.59,40,40.40,59,59.60,1,1.01,1,1.01,85,85.86,4,4.04,8,8.08,0,0.00,0,0.00,
2021-2022,District,District,1020,West Philadelphia High School,Network 13,11,101,2,1.98,99,98.02,39,38.61,62,61.39,33,32.67,68,67.33,0,0.00,3,2.97,90,89.11,2,1.98,6,5.94,0,0.00,0,0.00,
2021-2022,District,District,1020,West Philadelphia High School,Network 13,12,112,5,4.46,107,95.54,48,42.86,64,57.14,31,27.68,81,72.32,0,0.00,2,1.79,102,91.07,1,0.89,7,6.25,0,0.00,0,0.00,
2021-2022,District,District,1020,West Philadelphia High School,Network 13,All Grades,502,15,2.99,487,97.01,208,41.43,294,58.57,176,35.06,326,64.94,2,0.40,10,1.99,444,88.45,13,2.59,31,6.18,0,0.00,2,0.40,100.00
2021-2022,District,District,1030,High School of the Future,Innovation,09,143,3,2.10,140,97.90,24,16.78,119,83.22,82,57.34,61,42.66,3,2.10,2,1.40,130,90.91,4,2.80,2,1.40,0,0.00,2,1.40,
2021-2022,District,District,1030,High School of the Future,Innovation,10,219,8,3.65,211,96.35,41,18.72,178,81.28,109,49.77,110,50.23,0,0.00,3,1.37,201,91.78,7,3.20,5,2.28,0,0.00,3,1.37,
2021-2022,District,District,1030,High School of the Future,Innovation,11,153,3,1.96,150,98.04,21,13.73,132,86.27,88,57.52,65,42.48,0,0.00,1,0.65,143,93.46,6,3.92,3,1.96,0,0.00,0,0.00,
2021-2022,District,District,1030,High School of the Future,Innovation,12,186,6,3.23,180,96.77,63,33.87,123,66.13,85,45.70,101,54.30,1,0.54,2,1.08,164,88.17,7,3.76,12,6.45,0,0.00,0,0.00,
2021-2022,District,District,1030,High School of the Future,Innovation,All Grades,701,20,2.85,681,97.15,149,21.26,552,78.74,364,51.93,337,48.07,4,0.57,8,1.14,638,91.01,24,3.42,22,3.14,0,0.00,5,0.71,100.00
2021-2022,District,District,1050,Paul Robeson High School for Human Services,Network 1,09,68,6,8.82,62,91.18,12,17.65,56,82.35,38,55.88,30,44.12,0,0.00,0,0.00,65,95.59,2,2.94,1,1.47,0,0.00,0,0.00,
2021-2022,District,District,1050,Paul Robeson High School for Human Services,Network 1,10,78,6,7.69,72,92.31,14,17.95,64,82.05,48,61.54,30,38.46,0,0.00,1,1.28,71,91.03,3,3.85,1,1.28,0,0.00,2,2.56,
2021-2022,District,District,1050,Paul Robeson High School for Human Services,Network 1,11,77,2,2.60,75,97.40,11,14.29,66,85.71,40,51.95,37,48.05,0,0.00,0,0.00,74,96.10,1,1.30,2,2.60,0,0.00,0,0.00,
2021-2022,District,District,1050,Paul Robeson High School for Human Services,Network 1,12,77,1,1.30,76,98.70,16,20.78,61,79.22,44,57.14,33,42.86,0,0.00,0,0.00,72,93.51,0,0.00,5,6.49,0,0.00,0,0.00,
2021-2022,District,District,1050,Paul Robeson High School for Human Services,Network 1,All Grades,300,15,5.00,285,95.00,53,17.67,247,82.33,170,56.67,130,43.33,0,0.00,1,0.33,282,94.00,6,2.00,9,3.00,0,0.00,2,0.67,100.00
2021-2022,District,District,1100,William L. Sayre High School,Network 13,09,100,0,0.00,100,100.00,40,40.00,60,60.00,59,59.00,41,41.00,1,1.00,0,0.00,93,93.00,1,1.00,3,3.00,0,0.00,2,2.00,
2021-2022,District,District,1100,William L. Sayre High School,Network 13,10,101,2,1.98,99,98.02,39,38.61,62,61.39,47,46.53,54,53.47,0,0.00,1,0.99,91,90.10,1,0.99,7,6.93,0,0.00,1,0.99,
2021-2022,District,District,1100,William L. Sayre High School,Network 13,11,83,2,2.41,81,97.59,37,44.58,46,55.42,31,37.35,52,62.65,1,1.20,0,0.00,72,86.75,2,2.41,8,9.64,0,0.00,0,0.00,
2021-2022,District,District,1100,William L. Sayre High School,Network 13,12,101,3,2.97,98,97.03,48,47.52,53,52.48,46,45.54,55,54.46,1,0.99,3,2.97,91,90.10,1,0.99,5,4.95,0,0.00,0,0.00,
2021-2022,District,District,1100,William L. Sayre High School,Network 13,All Grades,385,7,1.82,378,98.18,164,42.60,221,57.40,183,47.53,202,52.47,3,0.78,4,1.04,347,90.13,5,1.30,23,5.97,0,0.00,3,0.78,100.00
2021-2022,District,District,1130,William T. Tilden School,Network 10,05,45,7,15.56,38,84.44,10,22.22,35,77.78,19,42.22,26,57.78,0,0.00,3,6.67,32,71.11,6,13.33,1,2.22,0,0.00,3,6.67,
2021-2022,District,District,1130,William T. Tilden School,Network 10,06,111,13,11.71,98,88.29,23,20.72,88,79.28,58,52.25,53,47.75,0,0.00,9,8.11,88,79.28,6,5.41,6,5.41,0,0.00,2,1.80,
2021-2022,District,District,1130,William T. Tilden School,Network 10,07,96,17,17.71,79,82.29,25,26.04,71,73.96,42,43.75,54,56.25,0,0.00,6,6.25,72,75.00,15,15.63,3,3.13,0,0.00,0,0.00,
2021-2022,District,District,1130,William T. Tilden School,Network 10,08,102,19,18.63,83,81.37,25,24.51,77,75.49,42,41.18,60,58.82,1,0.98,5,4.90,78,76.47,16,15.69,2,1.96,0,0.00,0,0.00,
2021-2022,District,District,1130,William T. Tilden School,Network 10,All Grades,354,56,15.82,298,84.18,83,23.45,271,76.55,161,45.48,193,54.52,1,0.28,23,6.50,270,76.27,43,12.15,12,3.39,0,0.00,5,1.41,100.00
2021-2022,District,District,1190,Motivation High School,Network 1,09,98,10,10.20,88,89.80,18,18.37,80,81.63,50,51.02,48,48.98,0,0.00,1,1.02,92,93.88,2,2.04,3,3.06,0,0.00,0,0.00,
2021-2022,District,District,1190,Motivation High School,Network 1,10,107,11,10.28,96,89.72,23,21.50,84,78.50,51,47.66,56,52.34,0,0.00,1,0.93,94,87.85,7,6.54,4,3.74,0,0.00,0,0.00,
2021-2022,District,District,1190,Motivation High School,Network 1,11,106,10,9.43,96,90.57,7,6.60,99,93.40,65,61.32,41,38.68,0,0.00,1,0.94,101,95.28,2,1.89,2,1.89,0,0.00,0,0.00,
2021-2022,District,District,1190,Motivation High School,Network 1,12,82,9,10.98,73,89.02,10,12.20,72,87.80,42,51.22,40,48.78,0,0.00,2,2.44,79,96.34,1,1.22,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1190,Motivation High School,Network 1,All Grades,393,40,10.18,353,89.82,58,14.76,335,85.24,208,52.93,185,47.07,0,0.00,5,1.27,366,93.13,12,3.05,9,2.29,0,0.00,0,0.00,100.00
2021-2022,District,District,1200,John Barry School,Network 5,00,45,0,0.00,45,100.00,0,0.00,45,100.00,20,44.44,25,55.56,0,0.00,0,0.00,42,93.33,3,6.67,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1200,John Barry School,Network 5,01,46,1,2.17,45,97.83,4,8.70,42,91.30,27,58.70,19,41.30,0,0.00,0,0.00,40,86.96,4,8.70,1,2.17,0,0.00,1,2.17,
2021-2022,District,District,1200,John Barry School,Network 5,02,54,2,3.70,52,96.30,7,12.96,47,87.04,31,57.41,23,42.59,0,0.00,0,0.00,51,94.44,2,3.70,0,0.00,0,0.00,1,1.85,
2021-2022,District,District,1200,John Barry School,Network 5,03,68,0,0.00,68,100.00,19,27.94,49,72.06,26,38.24,42,61.76,0,0.00,0,0.00,67,98.53,1,1.47,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1200,John Barry School,Network 5,04,51,0,0.00,51,100.00,12,23.53,39,76.47,20,39.22,31,60.78,0,0.00,0,0.00,47,92.16,3,5.88,1,1.96,0,0.00,0,0.00,
2021-2022,District,District,1200,John Barry School,Network 5,05,71,0,0.00,71,100.00,25,35.21,46,64.79,33,46.48,38,53.52,0,0.00,0,0.00,68,95.77,2,2.82,1,1.41,0,0.00,0,0.00,
2021-2022,District,District,1200,John Barry School,Network 5,06,54,1,1.85,53,98.15,17,31.48,37,68.52,28,51.85,26,48.15,0,0.00,0,0.00,51,94.44,2,3.70,1,1.85,0,0.00,0,0.00,
2021-2022,District,District,1200,John Barry School,Network 5,07,59,1,1.69,58,98.31,9,15.25,50,84.75,28,47.46,31,52.54,0,0.00,0,0.00,56,94.92,1,1.69,1,1.69,0,0.00,1,1.69,
2021-2022,District,District,1200,John Barry School,Network 5,08,29,1,3.45,28,96.55,8,27.59,21,72.41,17,58.62,12,41.38,1,3.45,0,0.00,26,89.66,1,3.45,0,0.00,1,3.45,0,0.00,
2021-2022,District,District,1200,John Barry School,Network 5,All Grades,477,6,1.26,471,98.74,101,21.17,376,78.83,230,48.22,247,51.78,1,0.21,0,0.00,448,93.92,19,3.98,5,1.05,1,0.21,3,0.63,100.00
2021-2022,District,District,1230,William C. Bryant School,Acceleration,00,43,0,0.00,43,100.00,0,0.00,43,100.00,19,44.19,24,55.81,0,0.00,1,2.33,42,97.67,0,0.00,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1230,William C. Bryant School,Acceleration,01,34,0,0.00,34,100.00,2,5.88,32,94.12,15,44.12,19,55.88,0,0.00,0,0.00,30,88.24,2,5.88,1,2.94,0,0.00,1,2.94,
2021-2022,District,District,1230,William C. Bryant School,Acceleration,02,46,1,2.17,45,97.83,4,8.70,42,91.30,18,39.13,28,60.87,0,0.00,0,0.00,45,97.83,0,0.00,0,0.00,0,0.00,1,2.17,
2021-2022,District,District,1230,William C. Bryant School,Acceleration,03,43,1,2.33,42,97.67,8,18.60,35,81.40,24,55.81,19,44.19,0,0.00,0,0.00,42,97.67,0,0.00,1,2.33,0,0.00,0,0.00,
