PA Code,NSC Code,NCES Code,AUN Code,ULCS Code,SRC School ID,School Name (ULCS),Publication Name,Publication Name Alpha List,Abbreviated Name,Year Opened,School Level,Admission Type,Current Grade Span Served,Grade Span at Scale,Phasing-In,Phasing-Out,Governance,Management Organization,School Reporting Category,Alternate Education Type,Major Intervention,Major Intervention Year,Community School Cohort,CTE Status,Title I Designation,Federal Accountability Designation,City Council District,GPS Location,Multiple Addresses,Street Address,City,State,Zip Code,Phone Number,Fax Number,Website,School Leader Name,Learning Network,Assistant Superintendent,FACE Liaison Name,FACE Liaison Email,FACE Liaison Phone Number,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
8493,N/A,N/A,126515001,8130,,NORTHEAST COMMUNITY PROPEL ACADEMY,Northeast Community Propel Academy,Northeast Community Propel Academy,Propel Academy,2021,Elementary-Middle,Neighborhood,"'00-07",N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,N/A,1,Non-Designated,6,"40.045775289859506, -75.04413272617913",N/A,7500 ROWLAND AVE,PHILADELPHIA,PA,19136-3539,215-400-8350,,https://ncpa.philasd.org/,MRS DYWONNE DAVIS-HARRIS,Network 9,TAMARA EDWARDS,Maria Moore,mmoore3@philasd.org,215-400-5884,1,1,1,1,1,1,1,1,0,0,0,0,0
3847,393345,421899003847,126515001,1010,101,JOHN BARTRAM HIGH SCHOOL,John Bartram High School,"Bartram, John High School",Bartram,1939,High,Neighborhood,"'09-12",N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,N/A,1,CSI,2,"39.92149737, -75.23405562",N/A,2401 S 67TH ST,PHILADELPHIA,PA,19142-2229,215-400-8100,215-400-8101,http://philasd.org/bartram,MR BRIAN JOHNSON,Network 13,JONATHAN BROWN,Wakila S. Jones,wsjones@philasd.org,215-400-5861,0,0,0,0,0,0,0,0,0,1,1,1,1
3860,393555,421899003860,126515001,1020,102,WEST PHILADELPHIA HIGH SCHOOL,West Philadelphia High School,West Philadelphia High School,West Philadelphia,1911,High,Neighborhood,"'09-12",N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,Acceleration,2011-2012,N/A,Programs,1,CSI,3,"39.958110, -75.219654",N/A,4901 CHESTNUT ST,PHILADELPHIA,PA,19139-3536,215-400-7900,215-400-7901,http://philasd.org/wphs,MS MARLA TRAVIS CURTIS,Network 13,JONATHAN BROWN,Darlene Bates-Harper,dbatesharper@philasd.org,215-400-5883,0,0,0,0,0,0,0,0,0,1,1,1,1
7903,392779,421899000993,126515001,1030,103,HIGH SCHOOL OF THE FUTURE,High School of the Future,High School of the Future,HS of Future,2006,High,Citywide,"'09-12",N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,N/A,1,CSI,4,"39.97465766, -75.2047566",N/A,4021 PARKSIDE AVE,PHILADELPHIA,PA,19104-1087,215-400-7790,215-400-7791,http://philasd.org/sof,MR JOHN SMITH JR,Innovation,RYAN SCALLON,Natasha Dye,ndye@philasd.org,215-400-5853,0,0,0,0,0,0,0,0,0,1,1,1,1
7780,393347,421899000765,126515001,1050,105,PAUL ROBESON HIGH SCHOOL,Paul Robeson High School for Human Services,"Robeson, Paul High School for Human Services",Robeson,2003,High,Citywide,"'09-12",N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,Programs,1,Non-Designated,3,"39.95679553, -75.20476311",N/A,4125 LUDLOW ST,PHILADELPHIA,PA,19104-3037,215-400-7780,215-400-7781,http://philasd.org/robeson,MR RICHARD GORDON,Network 1,TED DOMERS,Tamekia McFadden,tsimmons@philasd.org,215-400-5899,0,0,0,0,0,0,0,0,0,1,1,1,1
7245,393944,421899003825,126515001,1100,110,SAYRE HIGH SCHOOL,William L. Sayre High School,"Sayre, William L. High School",Sayre,1950,High,Neighborhood,"'09-12",N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,Programs,1,CSI,3,"39.95759354, -75.23859405",N/A,5800 WALNUT ST,PHILADELPHIA,PA,19139-3836,215-400-7800,215-400-7801,http://philasd.org/sayre,MS JAMIE EBERLE,Network 13,JONATHAN BROWN,Natasha Dye,ndye@philasd.org,215-400-5853,0,0,0,0,0,0,0,0,0,1,1,1,1
8297,N/A,421899007496,126515001,1130,113,TILDEN MIDDLE SCHOOL,William T. Tilden School,"Tilden, William T. Middle School",Tilden,1927,Middle,Neighborhood,"'05-08",N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,2016-2017,N/A,1,Non-Designated,2,"39.92093619, -75.23227632",N/A,6601 ELMWOOD AVE,PHILADELPHIA,PA,19142-2218,215-400-8170,215-400-8171,http://philasd.org/tilden,MS TIMEKA FORD-SMITH,Network 10,JESSICA RAMOS,Angela Butler,abutler@philasd.org,215-400-5856,0,0,0,0,0,1,1,1,1,0,0,0,0
7815,393246,421899000830,126515001,1190,119,MOTIVATION HIGH SCHOOL,Motivation High School,Motivation High School,Motivation,2004,High,Special Admit,"'09-12",N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,N/A,1,A-TSI,3,"39.94453199, -75.24184422",N/A,5900 BALTIMORE AVE,PHILADELPHIA,PA,19143-3129,215-400-7930,215-400-7931,http://philasd.org/motivationhs,MRS RENNU TELI,Network 1,TED DOMERS,Darlene Bates-Harper,dbatesharper@philasd.org,215-400-5883,0,0,0,0,0,0,0,0,0,1,1,1,1
8029,N/A,421899006869,126515001,1200,120,JOHN BARRY ELEMENTARY SCHOOL,John Barry School,"Barry, John Elementary School",Barry,2007,Elementary-Middle,Neighborhood,"'00-08",N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,Acceleration,2013-2014,N/A,N/A,1,Non-Designated,4,"39.96437494, -75.23860376",N/A,5900 RACE ST,PHILADELPHIA,PA,19139-2304,215-400-7640,215-400-7641,http://philasd.org/barry,MS KATIEDRA ARGRO,Network 5,KAREN KOLSKY,Rasheeda Polk,rhancock@philasd.org,215-400-5864,1,1,1,1,1,1,1,1,1,0,0,0,0
3601,N/A,421899003601,126515001,1230,123,WILLIAM C. BRYANT SCHOOL,William C. Bryant School,"Bryant, William C. School",Bryant,1903,Elementary-Middle,Neighborhood,"'00-08",N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,Acceleration,2013-2014,N/A,N/A,1,Non-Designated,3,"39.952687, -75.243691",N/A,6001 CEDAR AVE,PHILADELPHIA,PA,19143-1133,215-400-7910,215-400-7911,http://philasd.org/bryant,MR BAHIR HAYES,Acceleration,SEAN CONLEY,Sandra Hopkins,shopkins@philasd.org,215-400-7910,1,1,1,1,1,1,1,1,1,0,0,0,0
