"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2020-2021","District","Network 13","High","1010","Bartram, John High School","1706","N","455","3493","396","0.13","11.34%","87.03%"
"2020-2021","District","Network 13","High","1020","West Philadelphia High School","965","N","373","1272","121","0.29","9.51%","32.44%"
"2020-2021","District","Innovation","High","1030","High School of the Future","859","N","755","0","0",,,"0.00%"
"2020-2021","District","Network 1","High","1050","Robeson, Paul High School","387","N","312","0","0",,,"0.00%"
"2020-2021","District","Network 13","High","1100","Sayre, William L. High School","882","N","393","2797","270","0.14","9.65%","68.70%"
"2020-2021","District","Network 10","Middle","1130","Tilden Middle School","1197","N","345","1657","288","0.21","17.38%","83.48%"
"2020-2021","District","Network 1","High","1190","Motivation High School","860","Y","396","0","0",,,"0.00%"
"2020-2021","District","Network 5","Elementary-Middle","1200","Barry, John Elementary School","894","Y","537","1306","396","0.41","30.32%","73.74%"
"2020-2021","District","Acceleration","Elementary-Middle","1230","Bryant, William C. School","894","Y","420","849","311","0.49","36.63%","74.05%"
"2020-2021","District","Network 12","Elementary","1250","Catharine, Joseph School","676","N","426","656","352","0.65","53.66%","82.63%"
"2020-2021","District","Network 12","Elementary-Middle","1260","Comegys, Benjamin B. School","596","N","414","1023","350","0.40","34.21%","84.54%"
"2020-2021","District","Network 2","Elementary-Middle","1280","Penn Alexander School","542","N","577","709","567","0.81","79.97%","98.27%"
"2020-2021","District","Network 2","Elementary-Middle","1290","Hamilton, Andrew School","696","N","426","566","219","0.75","38.69%","51.41%"
"2020-2021","District","Network 12","Elementary-Middle","1300","Harrington, Avery D. School","616","N","395","864","229","0.46","26.50%","57.97%"
"2020-2021","District","Network 2","Elementary-Middle","1340","Lea, Henry C.","716","Y","468","341","191","1.37","56.01%","40.81%"
"2020-2021","District","Network 10","Elementary-Middle","1350","Longstreth, William C. School","735","Y","293","757","227","0.39","29.99%","77.47%"
"2020-2021","District","Network 5","Elementary-Middle","1360","McMichael, Morton School","874","Y","298","559","189","0.53","33.81%","63.42%"
"2020-2021","District","Network 5","Elementary-Middle","1370","Mitchell Elementary School","696","N","435","928","343","0.47","36.96%","78.85%"
"2020-2021","District","Network 11","Elementary","1380","Morton, Thomas G. School","795","N","454","920","404","0.49","43.91%","88.99%"
"2020-2021","District","Network 2","Elementary","1390","Powel, Samuel School","199","N","229","148","95","1.55","64.19%","41.48%"
"2020-2021","District","Network 10","Elementary","1400","Patterson, John M. School","696","Y","374","917","323","0.41","35.22%","86.36%"
"2020-2021","District","Acceleration","Elementary-Middle","1410","Rhoads, James School","676","N","438","828","309","0.53","37.32%","70.55%"
"2020-2021","District","Network 2","Elementary-Middle","1420","Washington, Martha School","815","N","259","204","78","1.27","38.24%","30.12%"
"2020-2021","District","Network 10","Elementary-Middle","1440","Penrose School","1140","N","428","685","283","0.62","41.31%","66.12%"
"2020-2021","District","Acceleration","Elementary-Middle","1460","Anderson, Add B. School","616","Y","461","845","315","0.55","37.28%","68.33%"
"2020-2021","District","Network 2","Elementary-Middle","1470","Locke, Alain School","676","N","382","777","269","0.49","34.62%","70.42%"
"2020-2021","District","Acceleration","Elementary-Middle","1490","Blankenburg, Rudolph School","596","Y","343","833","210","0.41","25.21%","61.22%"
"2020-2021","District","Network 2","Middle","1580","MYA-Middle Years Alternative","1000","Y","266","0","0",,,"0.00%"
"2020-2021","District","Network 13","High","2000","South Philadelphia H.S.","2498","Y","624","2258","277","0.28","12.27%","44.39%"
"2020-2021","District","Network 4","High","2010","Franklin, Benjamin High School","1464","Y","461","1242","97","0.37","7.81%","21.04%"
"2020-2021","District","Network 1","High","2020","Creative and Performing Arts","890","N","743","0","0",,,"0.00%"
"2020-2021","District","Innovation","Middle","2050","Science Leadership Academy MS","360","N","355","105","46","3.38","43.81%","12.96%"
"2020-2021","District","Network 1","Middle-High","2140","Masterman, Julia R. High School","1200","N","1202","0","0",,,"0.00%"
"2020-2021","District","Network 13","High","2160","Furness, Horace High School","1240","N","694","1480","319","0.47","21.55%","45.97%"
"2020-2021","District","Network 10","Elementary-Middle","2190","Fell, D. Newlin School","556","N","543","1119","364","0.49","32.53%","67.03%"
"2020-2021","District","Network 12","Elementary-Middle","2210","Bache-Martin School","894","Y","476","349","235","1.36","67.34%","49.37%"
"2020-2021","District","Network 2","Elementary-Middle","2240","Bregy, F. Amedee School","616","Y","299","461","22","0.65","4.77%","7.36%"
"2020-2021","District","Network 10","Elementary-Middle","2260","Childs, George W. School","1176","Y","490","653","310","0.75","47.47%","63.27%"
"2020-2021","District","Network 1","High","2290","Franklin Learning Center","963","N","861","0","0",,,"0.00%"
"2020-2021","Alternative","Opportunity","Middle-High","2310","Camelot Academy","504","N","32","0","0",,,"0.00%"
"2020-2021","District","Network 2","Elementary","2320","Girard, Stephen School","497","N","365","864","304","0.42","35.19%","83.29%"
"2020-2021","District","Network 3","Elementary-Middle","2340","McCall, Gen. George A. School","596","N","686","842","641","0.81","76.13%","93.44%"
"2020-2021","District","Acceleration","Elementary-Middle","2370","McDaniel, Delaplaine School","914","N","304","911","228","0.33","25.03%","75.00%"
"2020-2021","District","Network 3","Elementary-Middle","2380","Meredith, William M. School","477","N","550","579","484","0.95","83.59%","88.00%"
"2020-2021","District","Network 3","Elementary-Middle","2390","Morris, Robert School","795","N","209","500","159","0.42","31.80%","76.08%"
"2020-2021","District","Network 1","Middle-High","2410","Girard Academic Music Program","616","N","616","0","0",,,"0.00%"
"2020-2021","District","Network 10","Elementary-Middle","2450","Stanton, Edwin M. School","437","Y","308","467","191","0.66","40.90%","62.01%"
"2020-2021","District","Network 3","Elementary-Middle","2470","Greenfield, Albert M. School","676","N","664","592","515","1.12","86.99%","77.56%"
"2020-2021","District","Network 10","Elementary-Middle","2480","Arthur, Chester A. School","417","N","284","282","170","1.01","60.28%","59.86%"
"2020-2021","District","Network 3","Elementary-Middle","2490","Waring, Laura W. School","417","N","255","291","145","0.88","49.83%","56.86%"
"2020-2021","District","Network 10","Elementary-Middle","2510","Jackson, Andrew School","517","Y","537","680","423","0.79","62.21%","78.77%"
"2020-2021","District","Network 10","Elementary","2520","Jenks, Abram School","318","N","265","214","95","1.24","44.39%","35.85%"
"2020-2021","Alternative","Innovation","Middle-High","2530","Phila Juv Justice Svcs Ctr",,,"130","0","0",,,"0.00%"
"2020-2021","District","Network 10","Elementary","2540","Key, Francis Scott School","556","N","419","706","296","0.59","41.93%","70.64%"
"2020-2021","District","Network 10","Elementary-Middle","2580","Kirkbride, Eliza B. School","636","Y","518","623","386","0.83","61.96%","74.52%"
"2020-2021","District","Network 3","Elementary-Middle","2590","Nebinger, George W. School","517","Y","502","446","268","1.13","60.09%","53.39%"
"2020-2021","District","Network 1","High","2620","Academy at Palumbo","1067","N","1101","0","0",,,"0.00%"
"2020-2021","District","Network 10","Elementary-Middle","2630","Sharswood, George School","596","Y","405","444","149","0.91","33.56%","36.79%"
"2020-2021","District","Network 10","Elementary-Middle","2640","Southwark School","815","Y","917","972","498","0.94","51.23%","54.31%"
"2020-2021","District","Innovation","High","2650","Science Leadership Academy","1464","Y","504","0","0",,,"0.00%"
"2020-2021","District","Network 1","High","2670","Constitution High School","400","N","398","0","0",,,"0.00%"
"2020-2021","District","Innovation","Middle-High","2680","Science Leadership Academy at Beeber","900","N","669","0","0",,,"0.00%"
"2020-2021","District","Network 3","Elementary-Middle","2690","Taggart, John H. School","616","Y","470","855","353","0.55","41.29%","75.11%"
"2020-2021","District","Network 3","Elementary-Middle","2720","Vare-Washington Elementary","596","Y","349","564","217","0.62","38.48%","62.18%"
"2020-2021","Alternative","Opportunity","Middle","3040","Excel Middle Years Academy",,,"55","0","0",,,"0.00%"
"2020-2021","Alternative","Innovation","Elementary","3190","Crossroads at Hunting Park","446","Y","33","0","0",,,"0.00%"
"2020-2021","Alternative","Opportunity","High","3240","Liguori Academy-Fortis",,,"99","0","0",,,"0.00%"
"2020-2021","Alternative","Opportunity","High","3290","Excel Academy South",,,"373","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle-High","3301","Community Academy Of Phila",,,"1240","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle","3302","Harambee Institute Of Science",,,"569","0","0",,,"0.00%"
"2020-2021","Charter","Charters","High","3304","Youthbuild Phila. Charter",,,"177","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle","3306","Columbus, Christopher Charter",,,"922","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle","3307","De Hostos Charter School",,,"507","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary","3308","Inquiry Charter School",,,"269","0","0",,,"0.00%"
"2020-2021","Charter","Charters","High","3309","Imhotep Charter School",,,"603","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle","3310","Lab Sch of Communication & Lang",,,"774","0","0",,,"0.00%"
